AB,atom_A,atom_B,structure,volume_per_atom,form_en_per_atom,bandgap
BHf,B,Hf,s1,13.47,0.17,0.00
OsEr,Os,Er,s1,19.17,-0.07,0.00
NdDy,Nd,Dy,s1,33.88,0.10,0.00
CaTb,Ca,Tb,s1,35.75,0.17,0.00
BAl,B,Al,s1,10.77,0.83,0.00
MoAu,Mo,Au,s1,16.88,0.58,0.00
ClCd,Cl,Cd,s1,24.28,-0.31,0.00
ZrAg,Zr,Ag,s1,20.39,0.01,0.00
MnNi,Mn,Ni,s1,10.86,0.56,0.00
CeLu,Ce,Lu,s1,33.61,0.07,0.00
BiMn,Bi,Mn,s1,21.89,0.51,0.00
ClMn,Cl,Mn,s1,16.11,0.13,0.00
InCu,In,Cu,s1,17.99,0.33,0.00
OW,O,W,s1,11.21,0.41,0.00
FeTa,Fe,Ta,s1,14.29,-0.11,0.00
LiRh,Li,Rh,s1,12.20,0.05,0.00
CaCd,Ca,Cd,s1,28.59,-0.38,0.00
WPm,W,Pm,s1,22.65,1.09,0.00
BeDy,Be,Dy,s1,19.75,0.11,0.00
CsNd,Cs,Nd,s1,50.64,0.91,0.00
RuHo,Ru,Ho,s1,19.30,-0.33,0.00
NiRu,Ni,Ru,s1,12.40,0.42,0.00
InCr,In,Cr,s1,18.94,0.46,0.00
GaCd,Ga,Cd,s1,21.81,0.06,0.00
RbCa,Rb,Ca,s1,32.07,-1.85,4.75
BeEr,Be,Er,s1,19.22,0.08,0.00
IrNd,Ir,Nd,s1,22.15,-0.53,0.00
TiNd,Ti,Nd,s1,24.78,0.41,0.00
AsGd,As,Gd,s1,23.40,-1.06,0.00
BrTb,Br,Tb,s1,23.60,-0.78,0.00
AlTb,Al,Tb,s1,23.66,-0.40,0.00
MgRu,Mg,Ru,s1,15.23,0.26,0.00
AsW,As,W,s1,15.28,0.29,0.00
NiHg,Ni,Hg,s1,15.73,0.38,0.00
BrZr,Br,Zr,s1,20.48,-0.10,0.00
MoSm,Mo,Sm,s1,22.48,0.73,0.00
YAg,Y,Ag,s1,24.28,-0.35,0.00
NbIr,Nb,Ir,s1,16.43,-0.20,0.00
ZnAg,Zn,Ag,s1,16.21,0.04,0.00
VOs,V,Os,s1,13.69,-0.17,0.00
NaBr,Na,Br,s1,25.85,-1.45,2.91
OsTb,Os,Tb,s1,19.88,0.04,0.00
FAg,F,Ag,s1,13.96,-0.93,0.00
GaV,Ga,V,s1,14.22,0.06,0.00
InSm,In,Sm,s1,28.28,-0.50,0.00
CuEu,Cu,Eu,s1,22.12,-0.02,0.00
AsAu,As,Au,s1,18.80,0.29,0.00
GeMo,Ge,Mo,s1,15.34,0.12,0.00
AsAg,As,Ag,s1,19.05,0.28,0.00
BrCr,Br,Cr,s1,22.13,0.39,0.00
SiDy,Si,Dy,s1,21.95,-0.42,0.00
CoLa,Co,La,s1,21.49,0.06,0.00
NIr,N,Ir,s1,10.36,-0.91,0.00
KRe,K,Re,s1,28.30,4.22,4.79
TaPm,Ta,Pm,s1,24.00,0.79,0.00
OTi,O,Ti,s1,9.27,-1.96,0.00
CaZr,Ca,Zr,s1,28.85,0.62,0.00
FZn,F,Zn,s1,13.22,-0.87,0.00
GeEr,Ge,Er,s1,22.71,-0.59,0.00
CaCe,Ca,Ce,s1,39.05,0.08,0.00
LiNb,Li,Nb,s1,15.37,0.66,0.00
YMo,Y,Mo,s1,21.82,0.65,0.00
CoPm,Co,Pm,s1,20.11,0.02,0.00
BiCu,Bi,Cu,s1,21.66,0.51,0.00
TlPm,Tl,Pm,s1,29.31,-0.37,0.00
SrTl,Sr,Tl,s1,35.09,-0.42,0.00
TiZn,Ti,Zn,s1,15.66,-0.08,0.00
NbAg,Nb,Ag,s1,18.10,0.54,0.00
BiCo,Bi,Co,s1,19.08,0.56,0.00
NaTl,Na,Tl,s1,25.85,-1.15,2.91
TbDy,Tb,Dy,s1,32.35,0.13,0.00
BeRh,Be,Rh,s1,10.67,-0.60,0.00
PbHg,Pb,Hg,s1,28.31,0.02,0.00
BeSm,Be,Sm,s1,21.16,0.17,0.00
BrY,Br,Y,s1,23.60,-0.77,0.00
RhW,Rh,W,s1,15.25,0.39,0.00
SeOs,Se,Os,s1,15.40,0.85,0.00
NbRu,Nb,Ru,s1,15.96,-0.17,0.00
MgCe,Mg,Ce,s1,30.62,-0.12,0.00
NaSi,Na,Si,s1,25.85,0.45,2.91
PmTm,Pm,Tm,s1,32.46,0.08,0.00
CsAg,Cs,Ag,s1,46.55,0.06,0.00
SePm,Se,Pm,s1,23.91,-1.62,0.00
BiO,Bi,O,s1,16.53,-0.24,0.00
FePr,Fe,Pr,s1,20.69,0.59,0.00
BaYb,Ba,Yb,s1,50.79,0.03,0.00
PDy,P,Dy,s1,20.78,-1.07,0.00
SnYb,Sn,Yb,s1,28.33,-0.58,0.00
ScLu,Sc,Lu,s1,27.12,0.15,0.00
GaTa,Ga,Ta,s1,16.59,0.11,0.00
NiTc,Ni,Tc,s1,12.67,0.43,0.00
BaCu,Ba,Cu,s1,31.18,0.25,0.00
VTm,V,Tm,s1,22.41,0.44,0.00
OCd,O,Cd,s1,12.72,-0.64,0.00
MnFe,Mn,Fe,s1,10.99,0.21,0.00
LiF,Li,F,s1,8.41,-2.67,7.46
LiCl,Li,Cl,s1,17.81,-1.54,4.35
LiBr,Li,Br,s1,22.17,-1.28,3.03
LiI,Li,I,s1,29.46,-0.92,2.26
NaF,Na,F,s1,26.14,-1.37,2.89
NaCl,Na,Cl,s1,25.90,-1.35,2.91
NaBr,Na,Br,s1,25.85,-1.45,2.91
NaI,Na,I,s1,26.14,-1.50,2.89
KF,K,F,s1,28.39,-1.91,4.78
KCl,K,Cl,s1,28.39,-1.89,4.78
KBr,K,Br,s1,28.39,-1.99,4.78
KI,K,I,s1,28.39,-2.05,4.78
RbF,Rb,F,s1,32.17,-1.92,4.74
RbCl,Rb,Cl,s1,32.22,-1.90,4.73
RbBr,Rb,Br,s1,32.17,-2.00,4.74
RbI,Rb,I,s1,32.22,-2.05,4.73
CsF,Cs,F,s1,25.22,-2.55,5.97
CsCl,Cs,Cl,s1,37.28,-1.93,4.99
CsBr,Cs,Br,s1,42.03,-1.77,4.27
CsI,Cs,I,s1,50.74,-1.54,3.68
FCu,F,Cu,s1,10.91,-0.55,0.00
FAg,F,Ag,s1,13.96,-0.93,0.00
ClCu,Cl,Cu,s1,16.49,0.23,0.00
ClAg,Cl,Ag,s1,20.21,-0.29,0.57
ClAu,Cl,Au,s1,20.02,0.35,0.00
BrCu,Br,Cu,s1,19.54,0.43,0.00
BrAg,Br,Ag,s1,23.37,-0.14,0.09
BrAu,Br,Au,s1,22.80,0.44,0.00
ICu,I,Cu,s1,24.61,0.74,0.00
IAg,I,Ag,s1,28.61,0.12,0.00
IAu,I,Au,s1,26.54,0.59,0.00
BeS,Be,S,s1,12.53,0.45,0.00
BeSe,Be,Se,s1,14.94,0.55,0.00
BeTe,Be,Te,s1,18.92,0.77,0.00
MgO,Mg,O,s1,9.37,-1.99,2.29
MgS,Mg,S,s1,17.52,-0.81,0.00
MgSe,Mg,Se,s1,20.44,-0.67,0.00
MgTe,Mg,Te,s1,25.70,-0.33,0.00
CaO,Ca,O,s1,12.70,-2.49,2.77
CaS,Ca,S,s1,21.34,-1.78,1.35
CaSe,Ca,Se,s1,24.51,-1.69,0.80
CaTe,Ca,Te,s1,30.16,-1.34,0.14
SrO,Sr,O,s1,15.59,-2.34,2.76
SrS,Sr,S,s1,24.80,-1.85,1.81
SrSe,Sr,Se,s1,28.01,-1.79,1.36
SrTe,Sr,Te,s1,34.15,-1.51,0.47
BaO,Ba,O,s1,19.24,-2.15,1.73
BaS,Ba,S,s1,28.91,-1.86,1.48
BaSe,Ba,Se,s1,32.39,-1.85,1.22
BaTe,Ba,Te,s1,38.99,-1.62,0.80
SnO,Sn,O,s1,15.16,-0.56,0.00
SnS,Sn,S,s1,22.46,-0.14,0.00
SnSe,Sn,Se,s1,24.86,-0.19,0.00
SnTe,Sn,Te,s1,29.38,-0.05,0.00
PbO,Pb,O,s1,16.29,-0.69,0.25
PbS,Pb,S,s1,24.26,-0.30,0.00
PbSe,Pb,Se,s1,26.88,-0.34,0.00
PbTe,Pb,Te,s1,31.70,-0.19,0.00
OZn,O,Zn,s1,9.76,-0.65,0.00
OCd,O,Cd,s1,12.72,-0.64,0.00
OHg,O,Hg,s1,13.84,0.17,0.00
SZn,S,Zn,s1,16.32,0.23,0.00
SCd,S,Cd,s1,19.96,-0.01,0.00
SHg,S,Hg,s1,20.84,0.53,0.00
SeZn,Se,Zn,s1,18.91,0.21,0.00
SeCd,Se,Cd,s1,22.48,-0.04,0.00
SeHg,Se,Hg,s1,23.54,0.36,0.00
TeZn,Te,Zn,s1,23.04,0.29,0.00
TeCd,Te,Cd,s1,27.20,0.06,0.00
TeHg,Te,Hg,s1,27.64,0.25,0.00
BN,B,N,s1,6.27,-0.10,0.00
BAs,B,As,s1,12.64,1.51,0.00
BSb,B,Sb,s1,16.33,1.51,0.00
BBi,B,Bi,s1,18.99,1.59,0.00
AlP,Al,P,s1,15.23,0.13,0.00
AlAs,Al,As,s1,17.86,0.13,0.00
AlSb,Al,Sb,s1,22.55,0.22,0.00
AlBi,Al,Bi,s1,25.56,0.28,0.00
GaP,Ga,P,s1,16.61,0.31,0.00
GaAs,Ga,As,s1,18.92,0.17,0.00
GaSb,Ga,Sb,s1,23.52,0.12,0.00
GaBi,Ga,Bi,s1,25.92,0.10,0.00
InN,In,N,s1,13.09,-1.46,0.00
InP,In,P,s1,20.76,0.36,0.00
InAs,In,As,s1,22.78,0.16,0.00
InSb,In,Sb,s1,27.59,0.09,0.00
InBi,In,Bi,s1,29.65,0.05,0.00
TlN,Tl,N,s1,15.65,-0.88,0.00
TlP,Tl,P,s1,23.06,0.59,0.00
TlAs,Tl,As,s1,24.99,0.32,0.00
TlSb,Tl,Sb,s1,29.82,0.17,0.00
TlBi,Tl,Bi,s1,31.44,0.09,0.00
CSi,C,Si,s1,9.25,1.87,0.00
CGe,C,Ge,s1,11.72,2.11,0.00
CSn,C,Sn,s1,14.90,2.06,0.00
SiGe,Si,Ge,s1,17.08,0.51,0.00
SiSn,Si,Sn,s1,21.26,0.47,0.00
GeSn,Ge,Sn,s1,23.32,0.22,0.00
SnZn,Sn,Zn,s1,22.24,0.23,0.00
GaCo,Ga,Co,s1,11.83,-0.32,0.00
VCr,V,Cr,s1,12.30,-0.04,0.00
CuAu,Cu,Au,s1,15.00,0.13,0.00
BiSn,Bi,Sn,s1,29.71,0.10,0.00
CuNi,Cu,Ni,s1,11.43,0.42,0.00
NiCo,Ni,Co,s1,10.54,0.29,0.00
FeCr,Fe,Cr,s1,10.83,0.22,0.00
NaK,Na,K,s1,25.90,-1.74,2.91
FeNi,Fe,Ni,s1,10.67,0.54,0.00
PdFe,Pd,Fe,s1,11.75,0.10,0.00
CeCo,Ce,Co,s1,22.04,0.11,0.00
CrW,Cr,W,s1,13.82,-0.02,0.00
AlNi,Al,Ni,s1,12.08,-0.51,0.00
NiMg,Ni,Mg,s1,14.00,0.01,0.00
CrNi,Cr,Ni,s1,11.03,0.21,0.00
MgMn,Mg,Mn,s1,16.93,0.33,0.00
NaLi,Na,Li,s1,28.83,0.06,0.00
KLi,K,Li,s1,45.23,0.18,0.00
ZrHo,Zr,Ho,s2,28.83,0.99,0.00
NP,N,P,s2,10.24,-1.50,1.20
ClNd,Cl,Nd,s2,24.29,-1.22,0.00
AgPm,Ag,Pm,s2,29.44,-0.05,0.00
TeSc,Te,Sc,s2,25.61,-1.06,0.00
PbCu,Pb,Cu,s2,22.14,0.53,0.00
CsBe,Cs,Be,s2,53.03,1.36,0.00
YRu,Y,Ru,s2,22.04,0.38,0.00
TlMn,Tl,Mn,s2,22.32,0.74,0.00
BaRe,Ba,Re,s2,35.82,2.32,0.00
ScYb,Sc,Yb,s2,32.08,0.82,0.00
CaFe,Ca,Fe,s2,25.86,1.09,0.00
ZrNd,Zr,Nd,s2,30.65,0.98,0.00
SbCe,Sb,Ce,s2,34.31,-1.20,0.30
ScAg,Sc,Ag,s2,22.92,0.08,0.00
TcPd,Tc,Pd,s2,17.63,1.16,0.00
CaSb,Ca,Sb,s2,32.92,-0.64,0.00
MgI,Mg,I,s2,33.79,-0.31,0.00
GaAu,Ga,Au,s2,19.62,-0.20,0.00
ZrYb,Zr,Yb,s2,29.14,1.20,0.00
SbRh,Sb,Rh,s2,19.91,-0.10,0.00
SmDy,Sm,Dy,s2,34.50,0.72,0.00
SnW,Sn,W,s2,21.27,1.43,0.00
BeAl,Be,Al,s2,14.89,0.71,0.00
NiY,Ni,Y,s2,21.50,-0.06,0.00
CaBr,Ca,Br,s2,28.37,-1.19,0.00
NaTa,Na,Ta,s2,27.03,4.73,4.10
TlTa,Tl,Ta,s2,23.07,1.25,0.00
SbYb,Sb,Yb,s2,32.28,-0.64,0.00
BeMg,Be,Mg,s2,18.14,0.85,0.00
CuTm,Cu,Tm,s2,22.74,0.13,0.00
